"fips","count"
4013,1
6059,1
6073,1
6081,2
6107,1
8035,1
8111,1
12107,1
20179,1
22097,1
24027,2
24031,1
30033,2
31183,1
34019,1
36005,1
36059,2
36091,1
36103,3
39041,1
47187,1
48033,4
48041,1
48269,2
48393,2
49029,1
51059,1
51107,3
53033,1
55133,1
56011,1
56029,1
