"participant","county","fips"
"58c72acd444ade00010234d8","county_1",4013
"58c72acd444ade00010234d8","county_2",6059
"58c72acd444ade00010234d8","county_3",6081
"58c72acd444ade00010234d8","county_4",53033
"58c72acd444ade00010234d8","county_5",6073
"5aeb46c5ed102400010f26cb","county_1",36059
"5aeb46c5ed102400010f26cb","county_2",51059
"5aeb46c5ed102400010f26cb","county_3",51107
"5aeb46c5ed102400010f26cb","county_4",55133
"5aeb46c5ed102400010f26cb","county_5",36103
"5cec5f7afdd26c00193ba64b","county_1",36005
"5cec5f7afdd26c00193ba64b","county_2",12107
"5cec5f7afdd26c00193ba64b","county_3",48041
"5cec5f7afdd26c00193ba64b","county_4",22097
"5cec5f7afdd26c00193ba64b","county_5",6107
"5ea4c1cb7a313648ab349f3d","county_1",56029
"5ea4c1cb7a313648ab349f3d","county_2",30033
"5ea4c1cb7a313648ab349f3d","county_3",48033
"5ea4c1cb7a313648ab349f3d","county_4",24027
"5ea4c1cb7a313648ab349f3d","county_5",20179
"5ee811d6f82aa71171ed4d83","county_1",31183
"5ee811d6f82aa71171ed4d83","county_2",48033
"5ee811d6f82aa71171ed4d83","county_3",48393
"5ee811d6f82aa71171ed4d83","county_4",34019
"5ee811d6f82aa71171ed4d83","county_5",51107
"61086dd335b5043ec71b99b5","county_1",36103
"61086dd335b5043ec71b99b5","county_2",30033
"61086dd335b5043ec71b99b5","county_3",36091
"61086dd335b5043ec71b99b5","county_4",39041
"61086dd335b5043ec71b99b5","county_5",47187
"614ece6fdaa50e12e6f3f98f","county_1",51107
"614ece6fdaa50e12e6f3f98f","county_2",24031
"614ece6fdaa50e12e6f3f98f","county_3",36103
"614ece6fdaa50e12e6f3f98f","county_4",36059
"614ece6fdaa50e12e6f3f98f","county_5",6081
"628e216bba11289b021aa0bd","county_1",56011
"628e216bba11289b021aa0bd","county_2",48033
"628e216bba11289b021aa0bd","county_3",48269
"628e216bba11289b021aa0bd","county_4",48393
"628e216bba11289b021aa0bd","county_5",24027
"63d7d7b2acbb9e89e82b7086","county_1",49029
"63d7d7b2acbb9e89e82b7086","county_2",8111
"63d7d7b2acbb9e89e82b7086","county_3",8035
"63d7d7b2acbb9e89e82b7086","county_4",48269
"63d7d7b2acbb9e89e82b7086","county_5",48033
