"fips","count"
1009,1
1101,1
1117,2
6073,2
6081,1
6097,1
8035,1
8041,2
8123,1
12019,1
12031,1
12099,4
17111,1
17197,1
18063,1
20091,1
21175,1
23031,1
24021,1
26093,1
27037,1
28099,1
28121,2
29165,1
30111,1
32003,1
33015,1
34005,1
34019,1
36001,1
36103,1
36119,1
38015,1
39165,1
47187,1
48039,2
48259,1
48439,1
49011,1
49045,2
51019,1
51107,1
53033,1
54079,1
55025,1
55131,1
