"participant","maptype","condition","dataset","county","fips"
"6036d5dab50108640b6954ab","vsup","best","vaccine","county_5",17097
"60dbf6f5a1694ed71ee0fd7f","vsup","best","vaccine","county_1",6001
"60dbf6f5a1694ed71ee0fd7f","vsup","best","vaccine","county_2",30035
"60dbf6f5a1694ed71ee0fd7f","vsup","best","vaccine","county_3",44009
"60dbf6f5a1694ed71ee0fd7f","vsup","best","vaccine","county_4",12119
"60dbf6f5a1694ed71ee0fd7f","vsup","best","vaccine","county_5",17085
"6150a7aff22eb4723de2341a","vsup","best","vaccine","county_1",4001
"6150a7aff22eb4723de2341a","vsup","best","vaccine","county_2",8083
"6150a7aff22eb4723de2341a","vsup","best","vaccine","county_3",30005
"6150a7aff22eb4723de2341a","vsup","best","vaccine","county_4",24031
"6150a7aff22eb4723de2341a","vsup","best","vaccine","county_5",9009
"615914a33224dc31f1045612","vsup","best","vaccine","county_1",35031
"615914a33224dc31f1045612","vsup","best","vaccine","county_2",12086
"615914a33224dc31f1045612","vsup","best","vaccine","county_3",6025
"615914a33224dc31f1045612","vsup","best","vaccine","county_4",4001
"615914a33224dc31f1045612","vsup","best","vaccine","county_5",56039
"617390ea6b825a0eb8904f29","vsup","best","vaccine","county_1",48377
"617390ea6b825a0eb8904f29","vsup","best","vaccine","county_2",30085
"617390ea6b825a0eb8904f29","vsup","best","vaccine","county_3",46102
"617390ea6b825a0eb8904f29","vsup","best","vaccine","county_4",41027
"617390ea6b825a0eb8904f29","vsup","best","vaccine","county_5",23023
"628d8714727e2811c42dd485","vsup","best","vaccine","county_1",35006
"628d8714727e2811c42dd485","vsup","best","vaccine","county_2",35029
"628d8714727e2811c42dd485","vsup","best","vaccine","county_3",46041
"628d8714727e2811c42dd485","vsup","best","vaccine","county_4",9007
"628d8714727e2811c42dd485","vsup","best","vaccine","county_5",12119
"62b0e0655f1d85cae65b6d28","vsup","best","vaccine","county_1",36059
"62b0e0655f1d85cae65b6d28","vsup","best","vaccine","county_2",53033
"62b0e0655f1d85cae65b6d28","vsup","best","vaccine","county_3",6001
"62b0e0655f1d85cae65b6d28","vsup","best","vaccine","county_4",12086
"62b0e0655f1d85cae65b6d28","vsup","best","vaccine","county_5",48479
"62bb090302d4f0b567668d06","vsup","best","vaccine","county_1",12086
"62bb090302d4f0b567668d06","vsup","best","vaccine","county_2",42029
"62bb090302d4f0b567668d06","vsup","best","vaccine","county_3",46102
"62bb090302d4f0b567668d06","vsup","best","vaccine","county_4",4001
"62bb090302d4f0b567668d06","vsup","best","vaccine","county_5",6085
"63feb6ae378e8efd6fd318b6","vsup","best","vaccine","county_1",35031
"63feb6ae378e8efd6fd318b6","vsup","best","vaccine","county_2",35039
"63feb6ae378e8efd6fd318b6","vsup","best","vaccine","county_3",35055
"63feb6ae378e8efd6fd318b6","vsup","best","vaccine","county_4",35049
"63feb6ae378e8efd6fd318b6","vsup","best","vaccine","county_5",8037
"643b251934b7ae8575e905e4","vsup","best","vaccine","county_1",4001
"643b251934b7ae8575e905e4","vsup","best","vaccine","county_2",35031
"643b251934b7ae8575e905e4","vsup","best","vaccine","county_3",35039
"643b251934b7ae8575e905e4","vsup","best","vaccine","county_4",35055
"643b251934b7ae8575e905e4","vsup","best","vaccine","county_5",48479
