"participant","maptype","condition","dataset","county","fips"
"600f4361d8ad4b1021236a24","choropleth","best","vaccine","county_4",4023
"600f4361d8ad4b1021236a24","choropleth","best","vaccine","county_5",49043
"60778adf13e3a5f0d0f655db","choropleth","best","vaccine","county_1",4005
"60778adf13e3a5f0d0f655db","choropleth","best","vaccine","county_2",4017
"60778adf13e3a5f0d0f655db","choropleth","best","vaccine","county_3",12086
"60778adf13e3a5f0d0f655db","choropleth","best","vaccine","county_4",12087
"60778adf13e3a5f0d0f655db","choropleth","best","vaccine","county_5",6085
"60cf7074e1ea52a0f3450346","choropleth","best","vaccine","county_1",4005
"60cf7074e1ea52a0f3450346","choropleth","best","vaccine","county_2",4001
"60cf7074e1ea52a0f3450346","choropleth","best","vaccine","county_3",36041
"60cf7074e1ea52a0f3450346","choropleth","best","vaccine","county_4",12086
"60cf7074e1ea52a0f3450346","choropleth","best","vaccine","county_5",53033
"60fe47b274576eb477b06e6d","choropleth","best","vaccine","county_1",24031
"60fe47b274576eb477b06e6d","choropleth","best","vaccine","county_2",24027
"60fe47b274576eb477b06e6d","choropleth","best","vaccine","county_3",6085
"60fe47b274576eb477b06e6d","choropleth","best","vaccine","county_4",23005
"60fe47b274576eb477b06e6d","choropleth","best","vaccine","county_5",9009
"615e3c6bdb7c4e8e2ee86818","choropleth","best","vaccine","county_1",4005
"615e3c6bdb7c4e8e2ee86818","choropleth","best","vaccine","county_2",53033
"615e3c6bdb7c4e8e2ee86818","choropleth","best","vaccine","county_3",24031
"615e3c6bdb7c4e8e2ee86818","choropleth","best","vaccine","county_4",36119
"615e3c6bdb7c4e8e2ee86818","choropleth","best","vaccine","county_5",6085
"62c345831d3aed7142af2c6f","choropleth","best","vaccine","county_1",20091
"62c345831d3aed7142af2c6f","choropleth","best","vaccine","county_2",37135
"62c345831d3aed7142af2c6f","choropleth","best","vaccine","county_3",24021
"62c345831d3aed7142af2c6f","choropleth","best","vaccine","county_4",6041
