"participant","maptype","condition","dataset","county","fips"
"62caf420f0a62517092c7841","surprise","best","vaccine","county_5",8123
"62cb89ec5a20189842858401","surprise","best","vaccine","county_1",1073
"62cb89ec5a20189842858401","surprise","best","vaccine","county_2",4005
"62cb89ec5a20189842858401","surprise","best","vaccine","county_3",47065
"62cb89ec5a20189842858401","surprise","best","vaccine","county_4",45045
"62cb89ec5a20189842858401","surprise","best","vaccine","county_5",27137
"62e8268cd4320680eaea5ac8","surprise","best","vaccine","county_1",35045
"62e8268cd4320680eaea5ac8","surprise","best","vaccine","county_2",25027
"62e8268cd4320680eaea5ac8","surprise","best","vaccine","county_3",35039
"62e8268cd4320680eaea5ac8","surprise","best","vaccine","county_4",16013
"62e8268cd4320680eaea5ac8","surprise","best","vaccine","county_5",56039
"62fb9a3f8da41fb2b6d28121","surprise","best","vaccine","county_1",6085
"62fb9a3f8da41fb2b6d28121","surprise","best","vaccine","county_2",25017
"62fb9a3f8da41fb2b6d28121","surprise","best","vaccine","county_3",53033
"62fb9a3f8da41fb2b6d28121","surprise","best","vaccine","county_4",24031
"62fb9a3f8da41fb2b6d28121","surprise","best","vaccine","county_5",12086
"63d20ab5cc10928b0f1614e1","surprise","best","vaccine","county_1",6071
"63d20ab5cc10928b0f1614e1","surprise","best","vaccine","county_2",4005
"63d20ab5cc10928b0f1614e1","surprise","best","vaccine","county_3",53061
"63d20ab5cc10928b0f1614e1","surprise","best","vaccine","county_4",27137
"63d20ab5cc10928b0f1614e1","surprise","best","vaccine","county_5",36027
"63f595219664bb187f8b6017","surprise","best","vaccine","county_1",12086
"63f595219664bb187f8b6017","surprise","best","vaccine","county_2",48427
"63f595219664bb187f8b6017","surprise","best","vaccine","county_3",48479
"63f595219664bb187f8b6017","surprise","best","vaccine","county_4",48323
"63f595219664bb187f8b6017","surprise","best","vaccine","county_5",35031
"6400dde6a2159a3e6636f677","surprise","best","vaccine","county_1",35039
"6400dde6a2159a3e6636f677","surprise","best","vaccine","county_2",8013
"6400dde6a2159a3e6636f677","surprise","best","vaccine","county_3",8037
"6400dde6a2159a3e6636f677","surprise","best","vaccine","county_4",8097
"6400dde6a2159a3e6636f677","surprise","best","vaccine","county_5",46102
"640100c4a257e711d8b5c0a3","surprise","best","vaccine","county_1",53031
"640100c4a257e711d8b5c0a3","surprise","best","vaccine","county_2",6097
"640100c4a257e711d8b5c0a3","surprise","best","vaccine","county_3",6085
"640100c4a257e711d8b5c0a3","surprise","best","vaccine","county_4",23031
"640100c4a257e711d8b5c0a3","surprise","best","vaccine","county_5",48479
"640e937a76dd9d1d852a7642","surprise","best","vaccine","county_1",48479
"640e937a76dd9d1d852a7642","surprise","best","vaccine","county_2",48201
"640e937a76dd9d1d852a7642","surprise","best","vaccine","county_3",17043
"640e937a76dd9d1d852a7642","surprise","best","vaccine","county_4",36119
"640e937a76dd9d1d852a7642","surprise","best","vaccine","county_5",12011
