"fips","count"
1049,1
1133,2
6035,1
8039,1
12029,1
13049,1
16015,1
16049,1
16073,1
16075,1
18027,1
18087,3
20063,1
29067,3
29139,1
29145,4
30053,1
32009,1
38015,1
38053,2
38105,1
39075,4
41025,1
45007,1
48165,1
49023,1
56025,1
56035,1
