"fips","count"
6081,1
8035,2
9005,3
17197,1
19049,1
20091,1
24005,1
24031,1
26093,1
27019,1
27037,1
27163,1
31153,2
34005,2
34019,2
34027,1
34037,1
36103,2
40017,1
42029,1
42125,1
47187,1
48085,3
49045,1
51107,2
53061,1
55109,3
55133,1
