"participant","county","fips"
"58404dae32e21e0001f80519","county_1",12086
"58404dae32e21e0001f80519","county_2",4017
"58404dae32e21e0001f80519","county_3",6083
"58404dae32e21e0001f80519","county_4",56039
"58404dae32e21e0001f80519","county_5",12087
"5da7a232f40dea00160436a7","county_1",23005
"5da7a232f40dea00160436a7","county_2",35031
"5da7a232f40dea00160436a7","county_3",4001
"5da7a232f40dea00160436a7","county_4",48479
"5da7a232f40dea00160436a7","county_5",56039
"5e29c3e725dcfd01cef9f474","county_1",56039
"5e29c3e725dcfd01cef9f474","county_2",53033
"5e29c3e725dcfd01cef9f474","county_3",6085
"5e29c3e725dcfd01cef9f474","county_4",12086
"5e29c3e725dcfd01cef9f474","county_5",48479
"61005133f83578f7fdcb2a59","county_1",4001
"61005133f83578f7fdcb2a59","county_2",48479
"61005133f83578f7fdcb2a59","county_3",23005
"61005133f83578f7fdcb2a59","county_4",6041
"61005133f83578f7fdcb2a59","county_5",56039
"610891b03a1f80a25b7ddb82","county_1",4017
"610891b03a1f80a25b7ddb82","county_2",23031
"610891b03a1f80a25b7ddb82","county_3",6085
"610891b03a1f80a25b7ddb82","county_4",56039
"610891b03a1f80a25b7ddb82","county_5",55025
"614f2de48a5fdf9347f1cd4e","county_1",48323
"614f2de48a5fdf9347f1cd4e","county_2",48479
"614f2de48a5fdf9347f1cd4e","county_3",6025
"614f2de48a5fdf9347f1cd4e","county_4",4023
"614f2de48a5fdf9347f1cd4e","county_5",6041
"6294e3dd871a695346c5d97a","county_1",35055
"6294e3dd871a695346c5d97a","county_2",24031
"6294e3dd871a695346c5d97a","county_3",55025
"6294e3dd871a695346c5d97a","county_4",56039
"6294e3dd871a695346c5d97a","county_5",4001
"6337c2c21e350de4df1661bf","county_1",4017
"6337c2c21e350de4df1661bf","county_2",4001
"6337c2c21e350de4df1661bf","county_3",56039
"6337c2c21e350de4df1661bf","county_4",6025
"6337c2c21e350de4df1661bf","county_5",48427
"633897629c2d1bbec55c547a","county_1",6037
"633897629c2d1bbec55c547a","county_2",6025
"633897629c2d1bbec55c547a","county_3",4003
"633897629c2d1bbec55c547a","county_4",12099
"633897629c2d1bbec55c547a","county_5",36071
"63ba01ccd148cb4ea88adbb2","county_1",4001
"63ba01ccd148cb4ea88adbb2","county_2",51107
"63ba01ccd148cb4ea88adbb2","county_3",12086
"63ba01ccd148cb4ea88adbb2","county_4",48479
"63ba01ccd148cb4ea88adbb2","county_5",6025
